feedback_id,order_id,customer_id,rating,feedback_text,feedback_category,sentiment,feedback_date
2234710.0,1961864118.0,30065862.0,4.0,"It was okay, nothing special.",Delivery,Neutral,2024-07-17
5450964.0,1549769649.0,9573071.0,3.0,The order was incorrect.,App Experience,Negative,2024-05-28
482108.0,9185164487.0,45477575.0,3.0,"It was okay, nothing special.",App Experience,Neutral,2024-09-23
4823104.0,9644738826.0,88067569.0,4.0,The product met my expectations.,App Experience,Neutral,2023-11-24
3537464.0,5427684290.0,83298567.0,3.0,Product was damaged during delivery.,Delivery,Negative,2023-11-20
4089724.0,3265154092.0,43367112.0,2.0,Product was damaged during delivery.,Customer Service,Negative,2023-03-18
230696.0,4898355547.0,13284996.0,4.0,Highly recommended!,Product Quality,Positive,2023-04-16
2259308.0,6568151549.0,88866835.0,2.0,I had a bad experience.,App Experience,Negative,2024-03-31
7380970.0,6006693867.0,24496983.0,3.0,Product was damaged during delivery.,Delivery,Negative,2023-07-14
2257242.0,374186990.0,52215833.0,3.0,The product met my expectations.,App Experience,Neutral,2023-08-09
1837573.0,4455336265.0,43431724.0,2.0,Taste was not as expected.,Delivery,Negative,2023-08-30
258023.0,3539286337.0,77559557.0,3.0,"Delivery was fine, but the product could be better.",Delivery,Neutral,2023-04-25
3081099.0,9171116867.0,87107263.0,4.0,The product met my expectations.,Customer Service,Neutral,2023-10-22
3158837.0,5504941865.0,76512976.0,5.0,Highly recommended!,App Experience,Positive,2024-01-28
9465932.0,5868326481.0,37556526.0,4.0,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,2024-03-15
8111644.0,2137046916.0,12059049.0,4.0,"Overall good experience, thank you!",Customer Service,Positive,2024-02-03
121425.0,8195544338.0,26199489.0,4.0,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,2023-04-26
8267419.0,2889700050.0,84848018.0,4.0,"Average experience, could improve.",Delivery,Neutral,2024-04-30
7168244.0,65827885.0,47577193.0,1.0,Product was damaged during delivery.,Delivery,Negative,2023-07-27
2482108.0,4656471694.0,60728956.0,3.0,Not worth the price I paid.,Customer Service,Negative,2023-12-09
3769939.0,6625178717.0,62068277.0,2.0,Items were missing from my order.,Product Quality,Negative,2023-07-01
9592296.0,7169557514.0,84824280.0,2.0,Customer service was not helpful.,Product Quality,Negative,2023-03-21
1592958.0,2268306684.0,66742602.0,5.0,"Overall good experience, thank you!",Delivery,Positive,2024-05-28
2088819.0,6905293278.0,97259564.0,3.0,"It was okay, nothing special.",Delivery,Neutral,2024-06-16
3567003.0,1769493463.0,3292927.0,2.0,I had a bad experience.,App Experience,Negative,2024-06-26
2903160.0,5003387344.0,26592009.0,4.0,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,2024-06-23
7511717.0,2064484752.0,89995124.0,3.0,The product met my expectations.,Customer Service,Neutral,2024-05-07
1055307.0,964822979.0,88520326.0,3.0,Delivery was late and I was unhappy.,Product Quality,Negative,2024-07-13
1477592.0,6037899648.0,22738465.0,3.0,"Delivery was fine, but the product could be better.",Product Quality,Neutral,2024-03-27
7898352.0,9347571484.0,29562072.0,3.0,I had a bad experience.,Product Quality,Negative,2024-11-02
8804364.0,3286177534.0,10225164.0,3.0,The product met my expectations.,Delivery,Neutral,2023-06-25
1208337.0,9073572548.0,97111069.0,4.0,The product met my expectations.,Customer Service,Neutral,2023-05-02
4382390.0,8395583761.0,1989720.0,4.0,Great prices and fast delivery!,App Experience,Positive,2024-08-04
4858018.0,6355378227.0,67092149.0,4.0,"Overall good experience, thank you!",Customer Service,Positive,2023-08-11
2400571.0,277376321.0,89784343.0,4.0,Great prices and fast delivery!,App Experience,Positive,2024-07-28
3093140.0,8559748526.0,45868300.0,4.0,"Average experience, could improve.",App Experience,Neutral,2023-04-05
9407783.0,1458051433.0,50760752.0,4.0,The product met my expectations.,App Experience,Neutral,2024-04-26
1180902.0,5838302640.0,96795047.0,4.0,"It was okay, nothing special.",App Experience,Neutral,2023-05-12
6888502.0,1380971977.0,16561710.0,3.0,"Delivery was fine, but the product could be better.",Product Quality,Neutral,2024-06-02
8679241.0,1221099013.0,35156679.0,4.0,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral,2023-07-23
7512781.0,6771166303.0,87718744.0,3.0,The order was incorrect.,Product Quality,Negative,2023-07-24
5356601.0,7111337755.0,10524732.0,4.0,"Average experience, could improve.",Customer Service,Neutral,2023-05-06
9043273.0,5562922993.0,62416456.0,4.0,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,2023-12-06
3470106.0,5630957897.0,69925688.0,4.0,"Delivery was fine, but the product could be better.",Delivery,Neutral,2024-06-18
5957700.0,1787380558.0,5140660.0,4.0,"Nothing to complain about, but nothing exceptional.",App Experience,Neutral,2023-11-08
8956798.0,32613017.0,82594354.0,5.0,"Excellent quality, will buy again!",Delivery,Positive,2023-03-17
4843776.0,2039041670.0,88324928.0,4.0,"Average experience, could improve.",Product Quality,Neutral,2024-11-01
8241448.0,210693801.0,71235336.0,3.0,Product was damaged during delivery.,Customer Service,Negative,2024-08-21
1664531.0,8120002258.0,57833505.0,3.0,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,2024-01-01
4940244.0,2177917034.0,12402437.0,5.0,Will definitely order again.,App Experience,Positive,2024-02-08
7165598.0,4254814926.0,59890331.0,3.0,The packaging was poor.,App Experience,Negative,2024-04-21
4424806.0,6074172790.0,14944819.0,4.0,Good selection of products.,Customer Service,Positive,2023-07-26
2074845.0,3381573131.0,67386193.0,1.0,Delivery was late and I was unhappy.,Delivery,Negative,2024-07-16
417728.0,3773745777.0,67701771.0,4.0,"It was okay, nothing special.",Customer Service,Neutral,2024-05-02
5642561.0,9251939156.0,89910157.0,4.0,"Overall good experience, thank you!",App Experience,Positive,2023-12-30
261554.0,3872982303.0,15484407.0,4.0,"It was okay, nothing special.",Delivery,Neutral,2024-02-03
1822011.0,2625987757.0,10769994.0,3.0,"It was okay, nothing special.",Delivery,Neutral,2023-08-01
4763044.0,3162249401.0,85519349.0,4.0,"Excellent quality, will buy again!",Delivery,Positive,2024-05-03
5621837.0,3108986741.0,49241309.0,3.0,Product was damaged during delivery.,Product Quality,Negative,2023-10-17
4571579.0,1851474741.0,23348269.0,2.0,The order was incorrect.,Product Quality,Negative,2023-11-01
3853657.0,2425099132.0,85016568.0,4.0,"Delivery was fine, but the product could be better.",Product Quality,Neutral,2023-08-15
7245923.0,6706793332.0,6247821.0,2.0,I had a bad experience.,Delivery,Negative,2024-10-09
2338813.0,2149289255.0,57579640.0,3.0,Delivery was late and I was unhappy.,Product Quality,Negative,2024-11-01
2222062.0,1971008155.0,2457734.0,1.0,Items were missing from my order.,App Experience,Negative,2023-10-23
6813661.0,2087093460.0,59329145.0,4.0,"Delivery was fine, but the product could be better.",Delivery,Neutral,2024-07-11
4065309.0,2116712588.0,24043135.0,3.0,"It was okay, nothing special.",Delivery,Neutral,2023-11-11
3025076.0,6054358790.0,59216664.0,3.0,"Average experience, could improve.",Product Quality,Neutral,2024-01-26
9329920.0,532660797.0,41008070.0,3.0,"Delivery was fine, but the product could be better.",Delivery,Neutral,2024-05-20
