product_id,date,stock_received,damaged_stock
153019.0,2023-03-17,4.0,2.0
848226.0,2023-03-17,4.0,2.0
965755.0,2023-03-17,1.0,0.0
39154.0,2023-03-17,4.0,0.0
34186.0,2023-03-17,3.0,2.0
478531.0,2023-03-17,4.0,2.0
812607.0,2023-03-17,4.0,0.0
818990.0,2023-03-17,4.0,0.0
14145.0,2023-03-17,0.0,2.0
847349.0,2023-03-17,0.0,2.0
284460.0,2023-03-17,4.0,0.0
77308.0,2023-03-17,0.0,2.0
654297.0,2023-03-17,4.0,2.0
376447.0,2023-03-17,4.0,0.0
217710.0,2023-03-17,0.0,2.0
888807.0,2023-03-17,1.0,0.0
41853.0,2023-03-17,4.0,0.0
257719.0,2023-03-17,4.0,0.0
741341.0,2023-03-17,0.0,2.0
500633.0,2023-03-17,0.0,2.0
799952.0,2023-03-17,3.0,0.0
833557.0,2023-03-17,4.0,0.0
324809.0,2023-03-17,1.0,0.0
455083.0,2023-03-17,0.0,2.0
592784.0,2023-03-17,3.0,0.0
578097.0,2023-03-17,0.0,2.0
487065.0,2023-03-17,4.0,0.0
734789.0,2023-03-17,4.0,0.0
949818.0,2023-03-17,0.0,2.0
654623.0,2023-03-17,4.0,0.0
378230.0,2023-03-17,0.0,2.0
990993.0,2023-03-17,1.0,0.0
762527.0,2023-03-17,4.0,0.0
602241.0,2023-03-17,1.0,2.0
491521.0,2023-03-17,3.0,0.0
832348.0,2023-03-17,3.0,2.0
567671.0,2023-03-17,4.0,0.0
991434.0,2023-03-17,0.0,2.0
540618.0,2023-03-17,3.0,0.0
107548.0,2023-03-17,0.0,2.0
687218.0,2023-03-17,3.0,2.0
328457.0,2023-03-17,3.0,0.0
300159.0,2023-03-17,3.0,2.0
378676.0,2023-03-17,3.0,0.0
532965.0,2023-03-17,4.0,0.0
305754.0,2023-03-17,1.0,0.0
491314.0,2023-03-17,0.0,2.0
470449.0,2023-03-17,0.0,2.0
623234.0,2023-03-17,0.0,2.0
652118.0,2023-03-17,0.0,2.0
611575.0,2023-03-17,3.0,0.0
621677.0,2023-03-17,3.0,0.0
306177.0,2023-03-17,4.0,0.0
692985.0,2023-03-17,0.0,2.0
487931.0,2023-03-17,0.0,2.0
