product_id,product_name,category,brand,price,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level
153019.0,Onions,Fruits & Vegetables,Aurora LLC,947.95,1263.93,25.0,3.0,13.0,88.0
11422.0,Potatoes,Fruits & Vegetables,Ramaswamy-Tata,127.16,169.55,25.0,3.0,20.0,65.0
669378.0,Potatoes,Fruits & Vegetables,Chadha and Sons,212.14,282.85,25.0,3.0,23.0,70.0
848226.0,Tomatoes,Fruits & Vegetables,Barad and Sons,209.59,279.45,25.0,3.0,10.0,51.0
890623.0,Onions,Fruits & Vegetables,"Sangha, Nagar and Varty",354.52,472.69,25.0,3.0,27.0,55.0
965755.0,Bananas,Fruits & Vegetables,"Doshi, Sarraf and Sama",532.57,710.09,25.0,3.0,21.0,91.0
222892.0,Tomatoes,Fruits & Vegetables,Ramakrishnan-Ghose,869.22,1158.96,25.0,3.0,28.0,88.0
516376.0,Onions,Fruits & Vegetables,Agarwal-Dhar,877.43,1169.91,25.0,3.0,21.0,71.0
39154.0,Mangoes,Fruits & Vegetables,"Suresh, Bose and Bajwa",946.86,1262.48,25.0,3.0,21.0,84.0
34186.0,Mangoes,Fruits & Vegetables,Mandal-Kar,925.65,1234.2,25.0,3.0,27.0,74.0
196719.0,Bananas,Fruits & Vegetables,Yogi Group,217.5,290.0,25.0,3.0,15.0,91.0
478531.0,Carrots,Fruits & Vegetables,Uppal Group,825.46,1100.61,25.0,3.0,24.0,90.0
812607.0,Potatoes,Fruits & Vegetables,Rege Group,416.65,555.53,25.0,3.0,11.0,63.0
818990.0,Tomatoes,Fruits & Vegetables,Dugar Group,163.55,218.07,25.0,3.0,22.0,92.0
14145.0,Spinach,Fruits & Vegetables,"Thakur, Shah and Pingle",630.84,841.12,25.0,3.0,14.0,53.0
349294.0,Onions,Fruits & Vegetables,Ganesan Ltd,934.75,1246.33,25.0,3.0,25.0,70.0
847349.0,Potatoes,Fruits & Vegetables,Chhabra-Agrawal,781.08,1041.44,25.0,3.0,26.0,69.0
871592.0,Carrots,Fruits & Vegetables,"Shankar, Nadkarni and Kumer",870.29,1160.39,25.0,3.0,25.0,50.0
284460.0,Potatoes,Fruits & Vegetables,"Ramakrishnan, Anand and Khare",505.95,674.6,25.0,3.0,21.0,85.0
473929.0,Carrots,Fruits & Vegetables,"Bhardwaj, Bhatia and Deshmukh",440.19,586.92,25.0,3.0,19.0,70.0
77308.0,Onions,Fruits & Vegetables,Ratta-Sagar,223.27,297.69,25.0,3.0,29.0,91.0
654297.0,Potatoes,Fruits & Vegetables,Chandran-Dass,13.25,17.67,25.0,3.0,20.0,86.0
70969.0,Carrots,Fruits & Vegetables,Mohan Group,631.7,842.27,25.0,3.0,25.0,96.0
552883.0,Potatoes,Fruits & Vegetables,"Balan, Patel and Mall",888.16,1184.21,25.0,3.0,18.0,94.0
952124.0,Onions,Fruits & Vegetables,"Wali, Sood and Bala",127.08,169.44,25.0,3.0,15.0,50.0
397973.0,Bananas,Fruits & Vegetables,"Wable, Randhawa and Mutti",728.73,971.64,25.0,3.0,27.0,82.0
555121.0,Carrots,Fruits & Vegetables,"Subramanian, Chaudhuri and Dora",354.91,473.21,25.0,3.0,30.0,67.0
818522.0,Cheese,Dairy & Breakfast,Hora-Roy,96.09,120.11,20.0,7.0,12.0,90.0
462526.0,Curd,Dairy & Breakfast,Pau and Sons,449.97,562.46,20.0,7.0,25.0,69.0
376447.0,Butter,Dairy & Breakfast,Gara and Sons,724.84,906.05,20.0,7.0,17.0,64.0
217710.0,Eggs,Dairy & Breakfast,Rout-Sarna,58.59,73.24,20.0,7.0,19.0,53.0
146840.0,Bread,Dairy & Breakfast,"Bains, Deol and Vaidya",786.85,983.56,20.0,7.0,19.0,89.0
89084.0,Milk,Dairy & Breakfast,"Wali, Virk and Iyer",598.83,748.54,20.0,7.0,27.0,74.0
888807.0,Bread,Dairy & Breakfast,Arya Group,230.58,288.23,20.0,7.0,13.0,91.0
136533.0,Eggs,Dairy & Breakfast,"Raghavan, Magar and Shanker",826.21,1032.76,20.0,7.0,15.0,75.0
714999.0,Bread,Dairy & Breakfast,Kala Group,882.51,1103.14,20.0,7.0,27.0,81.0
382511.0,Butter,Dairy & Breakfast,Bora-Thakkar,702.54,878.17,20.0,7.0,26.0,88.0
15314.0,Cheese,Dairy & Breakfast,Banik-Ratta,578.85,723.56,20.0,7.0,30.0,91.0
67197.0,Butter,Dairy & Breakfast,Shetty-Bora,552.2,690.25,20.0,7.0,20.0,79.0
880510.0,Bread,Dairy & Breakfast,Roy-Char,951.43,1189.29,20.0,7.0,29.0,54.0
41853.0,Curd,Dairy & Breakfast,Handa PLC,910.44,1138.05,20.0,7.0,14.0,92.0
257719.0,Eggs,Dairy & Breakfast,Chaudhuri PLC,281.73,352.16,20.0,7.0,17.0,93.0
891833.0,Curd,Dairy & Breakfast,Mani PLC,493.19,616.49,20.0,7.0,11.0,69.0
741341.0,Eggs,Dairy & Breakfast,Prasad LLC,923.84,1154.8,20.0,7.0,13.0,62.0
500739.0,Bread,Dairy & Breakfast,Aggarwal Group,359.98,449.98,20.0,7.0,18.0,81.0
500633.0,Cereal,Dairy & Breakfast,Trivedi-Ahluwalia,154.5,193.12,20.0,7.0,24.0,87.0
799952.0,Cheese,Dairy & Breakfast,Padmanabhan-Virk,922.64,1153.3,20.0,7.0,13.0,66.0
798639.0,Eggs,Dairy & Breakfast,Subramaniam LLC,211.25,264.06,20.0,7.0,12.0,78.0
329351.0,Cheese,Dairy & Breakfast,"Lala, Kalita and Sathe",310.87,388.59,20.0,7.0,23.0,95.0
833557.0,Cereal,Dairy & Breakfast,"Gole, Chand and Dada",422.87,528.59,20.0,7.0,27.0,69.0
324809.0,Bread,Dairy & Breakfast,Sidhu PLC,608.0,760.0,20.0,7.0,26.0,76.0
337168.0,Eggs,Dairy & Breakfast,Dasgupta PLC,545.49,681.86,20.0,7.0,25.0,98.0
659290.0,Cheese,Dairy & Breakfast,Kapadia-D’Alia,319.34,399.17,20.0,7.0,18.0,66.0
883013.0,Eggs,Dairy & Breakfast,Chahal Group,989.88,1237.35,20.0,7.0,13.0,98.0
839170.0,Curd,Dairy & Breakfast,Shetty and Sons,481.63,602.04,20.0,7.0,11.0,59.0
455083.0,Butter,Dairy & Breakfast,Dutta Inc,959.01,1198.76,20.0,7.0,29.0,63.0
183929.0,Bread,Dairy & Breakfast,"Nagi, Sampath and Khurana",738.74,923.42,20.0,7.0,20.0,73.0
592784.0,Biscuits,Snacks & Munchies,"Andra, Mander and Kari",280.35,431.31,35.0,90.0,27.0,64.0
578097.0,Nuts,Snacks & Munchies,Jha Group,267.61,411.71,35.0,90.0,22.0,75.0
487065.0,Chips,Snacks & Munchies,Kadakia-Yadav,374.68,576.43,35.0,90.0,27.0,87.0
734789.0,Popcorn,Snacks & Munchies,"Chaudhari, Pant and Singh",395.82,608.95,35.0,90.0,22.0,66.0
949818.0,Biscuits,Snacks & Munchies,Yohannan Inc,483.05,743.15,35.0,90.0,21.0,76.0
690565.0,Cookies,Snacks & Munchies,"Roy, Seth and Patla",951.27,1463.49,35.0,90.0,15.0,56.0
961614.0,Chocolates,Snacks & Munchies,Goda Inc,227.22,349.57,35.0,90.0,26.0,99.0
