order_id,customer_id,product_id,quantity,unit_price,order_date,promised_delivery_time,actual_delivery_time,order_total,payment_method,store_id
1961864118.0,30065862.0,642612.0,3.0,517.03,2024-07-17 08:34:01,2024-07-17 08:52:01,2024-07-17 08:47:01,3197.07,Cash,4771.0
1549769649.0,9573071.0,378676.0,1.0,881.42,2024-05-28 13:14:29,2024-05-28 13:25:29,2024-05-28 13:27:29,976.55,Cash,7534.0
9185164487.0,45477575.0,741341.0,2.0,923.84,2024-09-23 13:07:12,2024-09-23 13:25:12,2024-09-23 13:29:12,839.05,UPI,9886.0
9644738826.0,88067569.0,561860.0,1.0,874.78,2023-11-24 16:16:56,2023-11-24 16:34:56,2023-11-24 16:33:56,440.23,Card,7917.0
5427684290.0,83298567.0,602241.0,2.0,976.55,2023-11-20 05:00:39,2023-11-20 05:17:39,2023-11-20 05:18:39,2526.68,Cash,2741.0
3265154092.0,43367112.0,681063.0,1.0,321.28,2023-03-18 16:29:51,2023-03-18 16:49:51,2023-03-18 16:48:51,3161.43,UPI,3442.0
4898355547.0,13284996.0,56589.0,3.0,517.77,2023-04-16 18:50:37,2023-04-16 19:01:37,2023-04-16 19:02:37,956.4,Card,1318.0
6568151549.0,88866835.0,500739.0,2.0,359.98,2024-03-31 06:26:48,2024-03-31 06:37:48,2024-03-31 06:39:48,905.47,Cash,115.0
6006693867.0,24496983.0,490939.0,1.0,80.25,2023-07-13 23:49:36,2023-07-14 00:02:36,2023-07-14 00:05:36,1371.17,Card,9021.0
374186990.0,52215833.0,760828.0,2.0,563.45,2023-08-09 01:17:30,2023-08-09 01:37:30,2023-08-09 01:44:30,1601.19,Wallet,7955.0
4455336265.0,43431724.0,753354.0,3.0,423.56,2023-08-30 19:37:06,2023-08-30 19:47:06,2023-08-30 19:45:06,2362.33,UPI,3784.0
3539286337.0,77559557.0,684939.0,1.0,727.95,2023-04-25 20:32:24,2023-04-25 20:44:24,2023-04-25 20:39:24,1463.8,Wallet,2463.0
9171116867.0,87107263.0,500739.0,3.0,359.98,2023-10-22 11:15:33,2023-10-22 11:25:33,2023-10-22 11:37:33,822.63,Card,6899.0
5504941865.0,76512976.0,540618.0,1.0,317.05,2024-01-28 02:39:11,2024-01-28 02:55:11,2024-01-28 03:06:11,2287.68,Wallet,9809.0
5868326481.0,37556526.0,53833.0,3.0,134.69,2024-03-15 21:07:07,2024-03-15 21:24:07,2024-03-15 21:21:07,1962.35,Wallet,3106.0
2137046916.0,12059049.0,455755.0,2.0,44.09,2024-02-03 08:50:32,2024-02-03 09:03:32,2024-02-03 09:01:32,3373.96,UPI,1007.0
8195544338.0,26199489.0,131937.0,1.0,287.81,2023-04-26 04:03:57,2023-04-26 04:20:57,2023-04-26 04:28:57,845.71,Wallet,3809.0
2889700050.0,84848018.0,798639.0,1.0,211.25,2024-04-30 16:22:26,2024-04-30 16:33:26,2024-04-30 16:36:26,2706.54,Wallet,78.0
65827885.0,47577193.0,324809.0,3.0,608.0,2023-07-27 00:13:05,2023-07-27 00:25:05,2023-07-27 00:20:05,1132.98,Cash,3817.0
4656471694.0,60728956.0,679284.0,1.0,877.89,2023-12-09 08:08:08,2023-12-09 08:27:08,2023-12-09 08:35:08,1525.5,Cash,5739.0
6625178717.0,62068277.0,952168.0,3.0,236.95,2023-07-01 04:24:22,2023-07-01 04:40:22,2023-07-01 04:53:22,5718.09,Card,2130.0
7169557514.0,84824280.0,706112.0,2.0,478.79,2023-03-21 05:27:13,2023-03-21 05:38:13,2023-03-21 05:50:13,2970.9,Card,9535.0
2268306684.0,66742602.0,812607.0,2.0,416.65,2024-05-28 14:59:08,2024-05-28 15:11:08,2024-05-28 15:10:08,2991.57,Wallet,6847.0
6905293278.0,97259564.0,799952.0,1.0,922.64,2024-06-16 10:23:23,2024-06-16 10:36:23,2024-06-16 11:02:23,1404.68,Cash,4187.0
1769493463.0,3292927.0,709916.0,3.0,33.76,2024-06-26 07:13:47,2024-06-26 07:29:47,2024-06-26 07:24:47,2541.32,Wallet,7071.0
5003387344.0,26592009.0,67197.0,3.0,552.2,2024-06-23 10:53:47,2024-06-23 11:05:47,2024-06-23 11:00:47,2475.69,Wallet,7477.0
2064484752.0,89995124.0,937542.0,3.0,97.04,2024-05-07 22:42:49,2024-05-07 23:00:49,2024-05-07 22:55:49,1949.92,Wallet,1116.0
964822979.0,88520326.0,455755.0,2.0,44.09,2024-07-13 10:38:00,2024-07-13 10:49:00,2024-07-13 10:47:00,5804.23,Wallet,7603.0
6037899648.0,22738465.0,669378.0,1.0,212.14,2024-03-27 17:44:43,2024-03-27 18:00:43,2024-03-27 18:04:43,1231.03,Cash,914.0
9347571484.0,29562072.0,112390.0,2.0,877.98,2024-11-02 17:15:15,2024-11-02 17:26:15,2024-11-02 17:39:15,3138.06,Card,9615.0
